,id,url,title,question,answer_summary,full_answer
0,1,https://islamqa.info/en/answers/1,Interruption of Wudu,"Question

If during Wudu (ablution), one finds dirt stuck on his fingers, does working on removing the dirt by scrubbing it off disrupt the continuity of the Wudu and require repeating it?",,"Praise be to Allah.Continuity would not be disrupted by such an action (according to the most viable opinion) even if his body had dried, because he was delayed due to an action required for his purity. The same is true if he were to move from one faucet to another in search of water.
However, if continuity were disrupted due to an action not related to this, like removing impurity from his clothes, eating or drinking and the like, and the limbs became dry, then he needs to repeat the Wudu.
From the book What Should You Do in the Following Situations .. ?
Fatawa ibn Uthaimeen, 4/145-146 (Dar al-Qutni)
And Allah knows best."
1,2,https://islamqa.info/en/answers/2,Wudu while wounded,"Question

What should a person do if one of the areas normally washed during wudu is wounded?",,"Praise be to Allah.If a person is wounded in one of the areas of wudu and is not able to cover the wound with a bandage, he should perform wudu except for the wounded body part, for which he should then perform ablution with sand (tayammum).
(Note that this means one performs normal tayammum, not actually placing the sand on the wound itself.)
Al-Mughni ma'a al-Sharh il-Kabeer 1/282."
2,3,https://islamqa.info/en/answers/3,Time of occurence of janaba unknown.,"Question

                If a man sees the signs of sexual discharge impurity (janaba) on his clothes, and he is not sure when the discharge occurred, and several prayers have passed, what should he do?",,"Praise be to Allah.If a man sees the signs of sexual discharge impurity (janaba) 
  on his clothes, and he is not sure when the discharge occurred, and he had performed 
  several prayers (salaat) not knowing, he has to perform major ablution (ghusl) 
  and repeat the salaat from the most recent sleep in which he was wearing this 
  clothes. However, if he finds out that the janaba was from a previous sleep, 
  then he should repeat salaat from the last sleep he thinks the janaba occurred1. 
  The references (adillah) on the religious duty of performing ghusl due to janaba 
  in preparation for salaat are many, one of which is Allah's command in the Qur'an, 
  a translated meaning of which is: ""O' You who believe, do not get approach 
  salaat while you are drunk until you know what you are saying, nor while impure 
  due to sexual discharge (junob) unless you are traveling about until you perform 
  ghusl"" (4:43). And Ali's narration (hadith), (may Allah be pleased with 
  him), in which he said ""I was a man with frequent urethral discharge, so 
  I kept performing ghusl until the skin of my back started cracking, so I mentioned 
  this to the Prophet  peace be upon him (or it was 
  mentioned to him) so the messenger of Allah  (peace 
  be upon him) said, ""Don't do ghusl if you see urethral discharge, just 
  wash your male organ and perform wudu' same as wudu' of salaat. If semen appears, 
  then perform ghusl""2. 
  This hadith indicates that appearance of semen requires ghusl whereas urethral 
  discharge only needs washing of the sexual organ followed by wudu'.From the book What Should You Do in the Following 
  Situtations...?
1 Al-Mughni ma'a al-Sharh il-Kabeer 
  1/199.
  2 Narrated by Abu Dawood number 206 and verified sahih 
  by Albani in Arwaa' al-Ghaleel number 125."
3,4,https://islamqa.info/en/answers/4,Is Circumcision Necessary for Conversion?,"Question

A lawyer in Argentina is asking about the ruling on circumcision for a disbelieving man or woman who wants to enter Islam.",Circumcision is not necessary for conversion to Islam because the soundness of a person’s Islam does not depend upon him being circumcised.,"Praise be to Allah.Thank you for submitting this question. The issue of circumcision is one of the issues which in several cases forms a barrier for some of those who want to enter the religion of Islam. The matter is easier than many people think. 
Male circumcision in Islam
As for circumcision, it is one of the symbols of Islam. It is part of sound human nature (fitrah), and is part of the way of Ibrahim (peace be upon him). Allah, may He be exalted, says (interpretation of the meaning): “Then We revealed to you, [O Muhammad], to follow the religion of Abraham, inclining toward truth.” [an-Nahl 16:123]
The Prophet (blessings and peace of Allah be upon him) said: “The prophet Ibrahim (peace be upon him) circumcised himself when he was eighty years old…” (Narrated by al-Bukhari, 6/388)
Is male circumcision mandatory in Islam?
Circumcision is obligatory for a Muslim man, if he is able to do it. If he is not able to do it, such as if he fears that he may die if he is circumcised, or if a trustworthy doctor has told him that it will lead to haemorrhaging that may cause his death, then he is exempt from circumcision in that case, and he is not sinning if he does not do it.
Is circumcision necessary for conversion to Islam?
It is not appropriate under any circumstances to let the issue of circumcision be a barrier that prevents a person from entering the faith; rather the soundness of a person’s Islam does not depend upon him being circumcised. A person’s entering the religion of Islam is valid even if he does not get circumcised .
With regard to the issue of female circumcision, you will find the answer in question no. 427  .
I ask Allah to enable you to do all that is good and to protect you from all that is evil.
And Allah knows best."
4,5,https://islamqa.info/en/answers/5,When Can You Pray After a Miscarriage?,"Question

If a woman has a miscarriage and has discharge of blood, does she pray?","If you see blood after the abortion of a clot, then it is not nifas. So you should perform wudu for every prayer when the time for it is due and pray.","Praise be to Allah.This case depends on the type of blood. Is the blood what is known as post-natal bleeding (nifas) or vaginal bleeding (istihadah ) (but not part of her regular period)? 
The scholars have declared the regulation in this matter. They said: 
""If she sees the blood after the abortion of a formed human being, then it is nifas; if she sees blood after the abortion of a clot, then it is not nifas."" (Al-Mughni ma' al-Sharh al-Kabir 1/361) 
In the latter case, she is considered to be mustahada, so she performs wudu for every prayer when the time for it is due and she prays. 
Whereas if the aborted object is a fetus or has human-formed organs like an arm or a leg or a head, then it is considered nifas. 
For the case where the aborted object is disposed of in the hospital before the woman saw it, the scholars have mentioned that the least amount of time human form starts to take place is eighty one days after pregnancy.  (Majmu’ Fatawa Ibn ‘Uthaymin 4/292)
This is based on the report of ‘Abdullah Bin Mas’ud's hadith (may Allah be pleased with him), in which he said that the Prophet (peace and blessings be upon him) spoke to us, and he is the truthful and believed one, and said: ""Each one of you, human creation, forms in his mother's womb for forty days, then he is a hanging clot for the same amount of time, then he is a mudghah (the size of a morsel) for the same amount of time, then Allah sends an angel who is commanded with four things: he is told to write his deeds, his livelihood and sustenance, whether he is happy or distressed "" (Sahih al-Buhari 6/303)
Ladies in this case should spend the effort to find out from the doctors' estimations until her situation is clear to her.
As for the blood that is discharged just prior to a normal delivery, if it is accompanied with the pains of contraction, then it is nifas, and if not, then it is not. Shaykh al-Islam Ibn Taimiyyah (may the mercy of Allah be upon him) said: ""What she sees when the contractions commence is nifas. What is referred to here is contractions after which follows delivery; otherwise it is not nifas."" (Majmu’ Fatawa Ibn ‘Uthaymin 4/327)
Reference: “What Should You Do in the Following Situations by Sheikh Muhammad Salih Al-Munajjid."
5,6,https://islamqa.info/en/answers/6,How Do You Stay Focused While Praying?,"Question

If a person praying experiences insinuating thoughts from Shaytan in his prayer, causing him problems in reciting the Quran, and resulting in bad or evil thoughts, and making him doubt the number of completed rak’ahs, what should he do?","This is how to stay focused in prayer: 1- Seek refuge with Allah from Satan, 2- Blow with mist to the left three times.","Praise be to Allah.Satanic whispers during prayer 

This happened to one of the Companions of the Prophet (blessings and peace be upon him) whose name is ‘Uthman ibn Abi Al-’As, (may Allah be pleased with him). ’Uthman came complaining to the Prophet (peace and blessings be upon him), and said: ""The Shaytan comes between me and my prayer and causes me problems with my recitation."" So the Messenger of Allah (peace and blessings be upon him) said: ""That is a Shaytan called Khanzab , so if you feel his presence, seek refuge in Allah and blow a mist to your left three times."" He said: ""I applied this advice and Allah has rid me of him.” (Sahih Muslim, 2203) 
Tips on how to stay focused in prayer
This hadith includes two ways on how to get rid of the shaytan while praying .

Seeking refuge in Allah from the Shaytan's evil by pronouncing the words of seeking refuge and this is OK in this case. 
Blowing with mist to the left three times. This is basically blowing air in a similar manner to spitting, but with a minute mist of saliva, on the condition that this does not disturb or bother the person next to him, nor make the masjid dirty.

And Allah knows best.
Reference: “What Should You Do in the Following Situations by Sheikh Muhammad Salih Al-Munajjid."
6,7,https://islamqa.info/en/answers/7,Prayer starts and person needs to go to bathroom,"Question

                If prayer starts (i.e. the iqama is called) and the person feels the call of 
nature, what should he do?",,"Praise be to Allah.He should go to the restroom and tend to the call of nature even 
  if this means he will miss the jama'at (congregational prayer). The 
  evidence: Abullah Bin Arqam said, ""The Messenger of Allah  
  (peace be upon him) said: 'If one of you needed to go to the restroom and the 
  salaat starts, he should start with the restroom.' ""1
From the book What Should You Do in 
  the Following Situations... ?
1 Abu Dawood 88 and Sahih 
  al-Jaami' 373."
7,8,https://islamqa.info/en/answers/8,Someone is disturbed while praying,"Question

                If a person has something happen to him (i.e., someone speaks to him or 
approaches him) while praying what should he do?",,"Praise be to Allah.If it is a man, he should pronounce tasbeeh (glorifying 
  Allah by saying ""subhan Allah""), and if it’s a woman, 
  she should clap. The evidence is Sahl Bin Saad’s narration that the Messenger 
   (peace and blessings of Allah be upon him) said, 
  ""If something bothers you in your salaat, men should make tasbeeh 
  and women should clap.""1
From the book What Should You Do in 
  the Following Situations... ?
1 Sunan Abu Dawood 941, 
  Sahih al-Bukhari (Bugha print) 1145, and Sahih Muslim 106."
8,9,https://islamqa.info/en/answers/9,Person praying doubts whether passed wind.,"Question

                If a praying person is in doubt whether he has passed wind or not, or if 
he feels movement or gasses in his abdomen, should he stop prayer or 
continue?",,"Praise be to Allah.If he knows without doubt that wind has passed, then he should 
  leave the prayer. However, if he is in doubt but is not certain, then he should 
  not leave unless he becomes certain--by hearing the wind pass or smelling it. 
  If he finds that he has passed wind, he should leave; otherwise he should pay 
  no attention to it. The evidence: Abu Huriara, (may Allah be pleased 
  with him) said, ""The Messenger of Allah  (peace 
  be upon him) said: 'If one is in prayer and feels movement in his behind, (and 
  is in question whether) he has passed wind or not, and he is in doubt, then 
  he should not leave unless he hears the sound or detects the smell"".1 
  And this is one of the significant Islamic prescriptions for curing waswasa 
  (insinuations from the whispering of shaitan [Satan]).
From the book What Should You Do in 
  the Following Situations... ?
1 Abu Dawood 177, and 
  Sahih al-Jaami 750."
9,10,https://islamqa.info/en/answers/10,Fajr prayer called while praying witr.,"Question

                If a person is praying witr (final odd prayer of late night) and during his 
prayer the muathin (caller of prayer) called for fajr (dawn) prayer, 
should he continue with his witr?",,"Praise be to Allah.Yes, if the call to prayer was during his witr, he should 
  complete the prayer and he is excused. This matter is part of the case of the 
  timing of witr prayer: i.e., does witr end at the start of the 
  timing of the fajr prayer or at the end of the timing of the fajr 
  prayer? The majority of scholars (al-jumhoor) are in agreement that answer 
  is the start of fajr prayer.1
From the book What Should You Do in 
  the Following Situations... ?
1 Is'aaf Ahl il-Asr bi-ma Warada 
  fi Ahkaam Salaat il-Witr, by Faihan al-Mutairi, p.33."
